city,station,element,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Honolulu,USC00519397,TMIN,250,250,244,222,233,233,217,-9999,189,183,178,178,211,222,233,217,222,222,239,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
Honolulu,USC00519523,TMIN,239,239,250,-9999,233,-9999,222,217,178,172,183,194,194,200,200,200,222,-9999,-9999,228,228,222,189,200,-9999,200,228,228,217,-9999,-9999
Honolulu,USR0000HSCH,TMIN,211,211,211,206,206,206,189,156,144,167,161,183,178,194,194,189,206,206,206,194,211,194,183,178,167,178,200,194,189,183,-9999
Honolulu,USW00022519,TMIN,-9999,233,250,233,233,244,222,222,183,189,189,211,211,211,211,222,239,239,244,244,244,244,200,211,211,228,233,233,-9999,-9999,-9999
Honolulu,USW00022521,TMIN,250,244,239,233,244,228,228,217,200,194,189,217,217,222,222,222,228,239,244,239,228,233,200,217,211,217,233,233,-9999,-9999,-9999
Honolulu,USW00022551,TMIN,222,222,233,217,217,200,194,211,189,178,172,194,189,206,206,206,189,200,217,211,206,194,183,211,194,194,206,206,-9999,-9999,-9999
Boise,USC00100448,TMIN,56,28,0,-6,33,61,67,22,17,33,-28,-78,-100,-61,-83,-111,-9999,-122,-111,-78,-28,6,33,6,-6,17,39,44,44,-39,-9999
Boise,USC00101017,TMIN,6,6,0,56,72,56,39,22,28,-17,-72,-133,-100,-61,-9999,-9999,-9999,-9999,-122,-89,-50,22,-22,-22,17,39,67,61,-6,-9999,-9999
Boise,USC00101018,TMIN,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-128,-106,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
Boise,USS0016F02S,TMIN,-17,-22,-33,6,28,56,11,11,-17,-44,-100,-150,-94,-94,-150,-144,-111,-72,-44,-11,6,-33,-67,-67,-6,11,50,33,-9999,-9999,-9999
Boise,USW00024131,TMIN,39,22,6,56,83,78,50,33,28,-21,-55,-82,-60,-93,-171,-155,-143,-155,-127,-99,-49,22,-21,-16,39,28,56,44,-9999,-9999,-9999
Springfield,USC00118186,TMIN,-22,-28,-22,72,39,39,-28,-33,0,0,50,-33,-67,-78,-94,-100,-94,-111,-117,-78,-106,-100,44,6,-28,-50,-56,-122,-89,33,-9999
Springfield,USW00093822,TMIN,-21,-21,72,50,33,-10,-32,-10,-27,72,0,-43,-71,-88,-88,-60,-93,-116,-66,-93,-110,33,106,-10,-49,-55,-127,-88,-9999,-9999,-9999
Indianapolis,USC00121303,TMIN,-17,-56,-50,67,44,39,17,-9999,-9999,0,56,-11,-56,-83,-94,-9999,-78,-128,-128,-72,-122,-117,-9999,-9999,-9999,-9999,-44,-83,-56,-9999,-9999
Indianapolis,USC00121326,TMIN,6,-33,56,67,33,39,17,28,-22,50,11,-28,-67,-89,-100,-17,-100,-128,-106,-78,-122,-11,72,22,-28,-33,-50,-83,-6,-9999,-9999
Indianapolis,USC00123527,TMIN,-39,-50,-56,50,39,28,17,22,-11,-6,44,-6,-72,-78,-183,-72,-44,-122,-122,-78,-122,-122,28,89,6,-33,-61,-67,-50,11,-9999
Indianapolis,USW00053842,TMIN,-10,-43,61,78,39,39,17,28,-10,44,11,-27,-55,-77,-93,-16,-93,-121,-99,-77,-110,-5,78,22,-32,-38,-43,-71,-5,-9999,-9999
Indianapolis,USW00093819,TMIN,-16,-43,56,67,44,39,6,22,-16,33,11,-27,-66,-82,-82,-21,-105,-127,-99,-82,-110,-10,67,22,-32,-32,-43,-71,-10,-9999,-9999
Des Moines,USC00130241,TMIN,-9999,-9999,61,44,22,22,-39,-9999,-9999,44,-50,-94,-94,-128,-111,-100,-128,-144,-122,-100,-139,-83,39,-50,-94,-94,-178,-183,-78,-83,-9999
Des Moines,USC00132209,TMIN,-50,22,83,39,33,0,-6,11,22,-22,-61,-94,-100,-139,-72,-139,-139,-144,-78,-111,-106,17,6,-56,-100,-72,-194,-117,-11,-9999,-9999
Des Moines,USC00134063,TMIN,-72,-67,67,56,33,33,-28,-6,0,44,-50,-78,-89,-128,-128,-111,-122,-144,-133,-106,-106,-61,22,-39,-9999,-100,-156,-161,-9999,-72,-9999
Des Moines,USW00014933,TMIN,-49,39,78,61,39,11,-5,17,33,-5,-49,-77,-82,-116,-60,-110,-116,-132,-60,-99,-105,33,22,-38,-82,-55,-155,-99,-9999,-9999,-9999
Topeka,USC00146333,TMIN,-9999,-9999,106,-9999,22,22,-9999,-9999,-9999,100,-9999,-78,-83,-9999,-9999,-9999,-89,-117,-106,-89,-44,-9999,-9999,-33,-56,-56,-9999,-44,-9999,-9999,-9999
Topeka,USW00013920,TMIN,-60,78,94,50,17,-5,-16,0,6,6,-55,-77,-105,-116,-55,-93,-116,-132,-71,-99,-43,72,50,-38,-71,-21,-66,6,-9999,-9999,-9999
Topeka,USW00013996,TMIN,-43,83,100,44,0,6,-16,6,33,6,-49,-71,-99,-110,-55,-88,-99,-138,-82,-99,-49,56,56,-21,-71,-21,-49,-16,-9999,-9999,-9999
Frankfort,USW00053841,TMIN,-27,-49,-16,94,111,56,6,-5,-5,6,28,11,-38,-77,-99,6,-77,-127,-116,-60,-105,-38,61,28,-27,-38,-21,-49,-10,-9999,-9999
